mobile_3,cnt
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
130,1
